ID,Media_Type,Download_URL,Path_In_Zip
eaftextA,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 1. zaroɫe û bizê/ZB-001-speaker4.eaf
wavtextA,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 1. zaroɫe û bizê/ZB-001-speaker4.wav
eaftextB,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 2. zaroɫe û qiřolû darî/ZQ-001-speaker5.eaf
wavtextB,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 2. zaroɫe û qiřolû darî/ZQ-001-speaker5.wav
eaftextC,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 3. herbene/HB-001-speaker1.eaf
wavtextC,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 3. herbene/HB-001-speaker1.wav
eaftextD,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 4. peɫê merekuř/PM-001-speaker5.eaf
wavtextD,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 4. peɫê merekuř/PM-001-speaker5.wav
eaftextE,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 5. derdû gulî/DGU-001-speaker4.eaf
wavtextE,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 5. derdû gulî/DGU-001-speaker4.wav
eaftextF,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 6. duwê padşɛ/DPSH-001-speaker4.eaf
wavtextF,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,
eaftextG,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 7. zemawenû Pîr şelîyarî/ZPIR-001-speaker1.eaf
wavtextG,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 7. zemawenû Pîr şelîyarî/ZPIR-001-speaker1.wav
eaftextH,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 8. jîwayû pîr şelîyarî/ZHPIR-001-speaker1.eaf
wavtextH,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 8. jîwayû pîr şelîyarî/ZHPIR-001-speaker1.wav
eaftextI,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 9. babaw Pîr şelîyarî/BBPIR-001-speaker1.eaf
wavtextI,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 9. babaw Pîr şelîyarî/BBPIR-001-speaker1.wav
eaftextJ,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 10. Şêx ʕumer û Cafir san/JSH-001-speaker5.eaf
wavtextJ,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 10. Şêx ʕumer û Cafir san/JSH-001-speaker5.wav
eaftextK,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 11. kuřû şuwaney/KSH-001-speaker3.eaf
wavtextK,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 11. kuřû şuwaney/KSH-001-speaker3.wav
eaftextL,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 12. jenû Heyasî/ZHH-001-speaker3.eaf
wavtextL,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 12. jenû Heyasî/ZHH-001-speaker3.wav
eaftextM,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 13. řisûmatû ewsayma/RA-001-speaker4.eaf
wavtextM,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 13. řisûmatû ewsayma/RA-001-speaker4.wav
eaftextN,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 14. jîwayû ewsayma/ZHA-001-speaker.eaf
wavtextN,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 14. jîwayû ewsayma/ZHA-001-speaker.wav
eaftextO,application/eaf+xml,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 15. jîwayû min/JM-001-speaker4.eaf
wavtextO,audio/wav,https://zenodo.org/records/15419952/files/Corpus%20of%20Hewram%C3%AE%20recordings.zip,Corpus of Hewramî recordings/text 15. jîwayû min/JM-001-speaker4.wav
